"contents href","_image_yazkc_11 src","_image_yazkc_11 src 2","whitespace-normal","font-medium 2","flex-none src","flex-none","ml-[3px]","875rem] href","mr-0 src","h-4","truncate","pointer-events-none src"
"https://shopee.co.id/(BELI-1-GRATIS-1-)-SCARLET-Extrait-de-Parfum-Whitening-30ml-Unisex-Floral-Oriental-Wangi-Mewah-i.102036902.46656525239?extraParams=%7B%22display_model_id%22%3A385584340449%2C%22model_selection_logic%22%3A3%7D&sp_atk=01e60d77-2ab0-426e-93f9-ccfbe582fae8&xptdk=01e60d77-2ab0-426e-93f9-ccfbe582fae8","https://down-id.img.susercontent.com/file/sg-11134201-825zn-ml6fy21rhwxw5f","https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5","(BELI 1 GRATIS 1 ) SCARLET Extrait de Parfum Whitening 30ml Unisex Floral Oriental Wangi Mewah","13.500","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.3","Kab. Bandung","https://shopee.co.id/find_similar_products?catid=100630&itemid=46656525239&shopid=102036902","","","",""
"https://shopee.co.id/BELI-1-DAPAT-3-Parfum-Vanilla-Series-(-Bebas-Pilih-Varian-)-i.590423042.29823302797?extraParams=%7B%22display_model_id%22%3A233698119655%2C%22model_selection_logic%22%3A3%7D&sp_atk=59465d99-5410-47c6-b058-e5a68a345e64&xptdk=59465d99-5410-47c6-b058-e5a68a345e64","https://down-id.img.susercontent.com/file/id-11134207-7ra0g-mdrgkr2l17o270","https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13","BELI 1 DAPAT 3 Parfum Vanilla Series ( Bebas Pilih Varian )","22.818","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.6","Surabaya","https://shopee.co.id/find_similar_products?catid=100630&itemid=29823302797&shopid=590423042","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/e4734dab67ee2f9ebd5a.png","-24%","",""
"https://shopee.co.id/IMOZU-PINK-CHIFFON-Parfum-Wanita-Tahan-Lama-Aroma-Manis-Fresh-Feminim-Eau-De-Parfum-30ml-i.156471354.48608064189?extraParams=%7B%22display_model_id%22%3A206376608031%2C%22model_selection_logic%22%3A2%7D&sp_atk=298e1d1b-a55f-485a-b765-d45b7f53e860&xptdk=298e1d1b-a55f-485a-b765-d45b7f53e860","https://down-id.img.susercontent.com/file/sg-11134201-82624-mmar05mpw64lee","https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5","IMOZU - PINK CHIFFON Parfum Wanita Tahan Lama Aroma Manis Fresh Feminim Eau De Parfum 30ml","9.499","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.4","Kab. Bandung","https://shopee.co.id/find_similar_products?catid=100630&itemid=48608064189&shopid=156471354","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/a425c915798471b33e5d.png","-5%","",""
"https://shopee.co.id/ZARA-WOMEN-ORCHID-PARFUME-WANITA-TERLARIS-i.129631511.26972472494?extraParams=%7B%22display_model_id%22%3A242393233703%2C%22model_selection_logic%22%3A3%7D&sp_atk=b42e23d0-7be5-4c76-a908-4cb97da32efd&xptdk=b42e23d0-7be5-4c76-a908-4cb97da32efd","https://down-id.img.susercontent.com/file/sg-11134201-7ra2l-m4jrploighuaa4","https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5","ZARA WOMEN ORCHID  / PARFUME WANITA TERLARIS","9.184","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.5","Kab. Bandung","https://shopee.co.id/find_similar_products?catid=100630&itemid=26972472494&shopid=129631511","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/a425c915798471b33e5d.png","-3%","",""
"https://shopee.co.id/-TERMURAH-Pinkberry-Squash-Eau-De-Parfume-35ml-Dessert-Series-by-12Lab-i.774393546.27367676599?extraParams=%7B%22display_model_id%22%3A99690400995%2C%22model_selection_logic%22%3A3%7D&sp_atk=395fd665-13d5-4ad6-b739-da8ed287573e&xptdk=395fd665-13d5-4ad6-b739-da8ed287573e","https://down-id.img.susercontent.com/file/sg-11134201-7reon-m2luh4dc2axtd9","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f","[TERMURAH] Pinkberry Squash Eau De Parfume 35ml - Dessert Series by 12Lab","14.990","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.7","Kab. Sukoharjo","https://shopee.co.id/find_similar_products?catid=100630&itemid=27367676599&shopid=774393546","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/e4734dab67ee2f9ebd5a.png","-73%","Pilih Lokal",""
"https://shopee.co.id/TERLARIS-NO-1-Parfum-Geoff-Max-Parfume-Body-Perfume-Mountain-i.129631511.25027577719?extraParams=%7B%22display_model_id%22%3A232746149532%2C%22model_selection_logic%22%3A3%7D&sp_atk=d9ae75d8-9e20-46d2-9361-26999121a758&xptdk=d9ae75d8-9e20-46d2-9361-26999121a758","https://down-id.img.susercontent.com/file/sg-11134201-7rd42-luql6nwbuepf2f","https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5","TERLARIS NO 1 Parfum Geoff Max Parfume - Body Perfume Mountain","9.224","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.5","Kab. Bandung","https://shopee.co.id/find_similar_products?catid=100630&itemid=25027577719&shopid=129631511","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/a425c915798471b33e5d.png","-3%","",""
"https://shopee.co.id/parfum-viral-DIAMOND-DOMINANT-PARFUME-PEMIKAT-i.173376073.18286617320?extraParams=%7B%22display_model_id%22%3A310493675053%2C%22model_selection_logic%22%3A3%7D&sp_atk=1c84ad6e-0090-43e1-9634-e603e611eefd&xptdk=1c84ad6e-0090-43e1-9634-e603e611eefd","https://down-id.img.susercontent.com/file/id-11134207-7r991-lwd1etydjajua0","https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13","parfum viral DIAMOND-DOMINANT /PARFUME PEMIKAT","10.000","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.5","Kab. Jombang","https://shopee.co.id/find_similar_products?catid=100630&itemid=18286617320&shopid=173376073","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/e4734dab67ee2f9ebd5a.png","","",""
"https://shopee.co.id/Parfum-HMNS-ORGSM-LITE-50-ml-Inspired-by-Sagala-Parfume-Parfum-unisex-i.314095873.25334166107?extraParams=%7B%22display_model_id%22%3A280384269247%2C%22model_selection_logic%22%3A3%7D&sp_atk=8cea3e7b-3222-40fc-a622-46c920efd465&xptdk=8cea3e7b-3222-40fc-a622-46c920efd465","https://down-id.img.susercontent.com/file/id-11134207-7rbk2-maz66vr7qihqec","https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c","Parfum HMNS ORGSM LITE 50 ml Inspired by Sagala Parfume - Parfum unisex","54.998","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","Tangerang Selatan","https://shopee.co.id/find_similar_products?catid=100630&itemid=25334166107&shopid=314095873","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/e4734dab67ee2f9ebd5a.png","-52%","",""
"https://shopee.co.id/INSPIRED-NEW-KMEASAN-LLB-30-ML-PARFUM-MEIBIE-ORIGINAL-PARFUM-BUTTERFLIES-CI-VILMEI-ORIGINAL-i.1778444531.40679533104?extraParams=%7B%22display_model_id%22%3A320688960341%2C%22model_selection_logic%22%3A2%7D&sp_atk=657fb97e-5f8c-405b-a5a0-28ea6697cfa0&xptdk=657fb97e-5f8c-405b-a5a0-28ea6697cfa0","https://down-id.img.susercontent.com/file/sg-11134201-8262d-mma9btlebj7le4","https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13","INSPIRED NEW KMEASAN LLB 30 ML PARFUM MEIBIE ORIGINAL || PARFUM BUTTERFLIES CI VILMEI || ORIGINAL","24.999","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","3.9","Kab. Bandung","https://shopee.co.id/find_similar_products?catid=100630&itemid=40679533104&shopid=1778444531","","","",""
"https://shopee.co.id/FREE-EDP-Parfum-Wanita-Tahan-Lama-Wangi-Elegance-Manis-Segar-Ringan-IMPORT-i.1367427940.26812419954?extraParams=%7B%22display_model_id%22%3A256671820566%2C%22model_selection_logic%22%3A3%7D&sp_atk=a020466c-6abd-4d56-98a9-81505503406a&xptdk=a020466c-6abd-4d56-98a9-81505503406a","https://down-id.img.susercontent.com/file/id-11134207-7rasa-m0mp425kqty8a6","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f","FREE EDP Parfum Wanita Tahan Lama Wangi Elegance Manis Segar Ringan IMPORT","23.946","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.8","Jakarta Utara","https://shopee.co.id/find_similar_products?catid=100630&itemid=26812419954&shopid=1367427940","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/e4734dab67ee2f9ebd5a.png","-84%","",""
"https://shopee.co.id/Crusita-Busy-Day-Blooming-Series-Extrait-De-Parfum-i.336773594.15733508371?extraParams=%7B%22display_model_id%22%3A223556593315%2C%22model_selection_logic%22%3A3%7D&sp_atk=58d6c319-24a1-497d-bcff-ac8b2587a268&xptdk=58d6c319-24a1-497d-bcff-ac8b2587a268","https://down-id.img.susercontent.com/file/id-11134207-8224y-mjxupntvlekn8c","https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6","Crusita - Busy Day | Blooming Series Extrait De Parfum","329.000","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","Jakarta Timur","https://shopee.co.id/find_similar_products?catid=100630&itemid=15733508371&shopid=336773594","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/7c9110f78e069acbced7.png","-28%","Pilih Lokal",""
"https://shopee.co.id/PAKET-Bundling-Women-best-seller-Eau-De-Parfum-Wanita-by-Hirescent-i.590423042.29759091553?extraParams=%7B%22display_model_id%22%3A178380822419%2C%22model_selection_logic%22%3A3%7D&sp_atk=d3b12722-44b4-4aa3-b76a-fd04d270b658&xptdk=d3b12722-44b4-4aa3-b76a-fd04d270b658","https://down-id.img.susercontent.com/file/sg-11134201-7rdxp-lzdtb1p9q0d65f","https://down-id.img.susercontent.com/file/id-11134258-7r98w-lyezzaurybot13","PAKET Bundling Women best seller Eau De Parfum Wanita - by Hirescent","28.520","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.6","Surabaya","https://shopee.co.id/find_similar_products?catid=100630&itemid=29759091553&shopid=590423042","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/e4734dab67ee2f9ebd5a.png","-43%","",""
"https://shopee.co.id/Evangeline-Wonder-Series-Extrait-De-Parfum-100-ML-Parfum-Perfume-Minyak-Wangi-Wanita-Pria-Tahan-Lama-Aqua-Kiss-Sweet-Lychee-Bombshell-Vanilla-Lace-Love-Spell-Cozy-Baby-i.59738787.42919613297?extraParams=%7B%22display_model_id%22%3A218708499485%2C%22model_selection_logic%22%3A3%7D&sp_atk=14fd9cfd-f633-4ba4-934d-1fd86bada60e&xptdk=14fd9cfd-f633-4ba4-934d-1fd86bada60e","https://down-id.img.susercontent.com/file/id-11134207-8224v-mg5ydbot21an9f","https://down-id.img.susercontent.com/file/id-11134258-8224q-mkvvibsp8oowa6","Evangeline Wonder Series - Extrait De Parfum 100 ML | Parfum Perfume Minyak Wangi Wanita Pria Tahan Lama - Aqua Kiss / Sweet Lychee / Bombshell / Vanilla Lace / Love Spell / Cozy Baby","68.200","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","Kab. Deli Serdang","https://shopee.co.id/find_similar_products?catid=100630&itemid=42919613297&shopid=59738787","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/7c9110f78e069acbced7.png","-66%","Pilih Lokal",""
"https://shopee.co.id/Yora-Parfum-Wanita-Farfum-SCANDALOUS-Extrait-de-Parfum-Pria-Wangi-Tahan-Lama-i.1254311215.24532758809?extraParams=%7B%22display_model_id%22%3A79436254302%2C%22model_selection_logic%22%3A3%7D&sp_atk=c8d378e8-99af-405b-b15d-759bbe6990f1&xptdk=c8d378e8-99af-405b-b15d-759bbe6990f1","https://down-id.img.susercontent.com/file/id-11134207-8224u-mizgzgp3fzer26","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04","Yora Parfum Wanita Farfum SCANDALOUS | Extrait de Parfum Pria Wangi Tahan Lama","48.198","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","Bekasi","https://shopee.co.id/find_similar_products?catid=100630&itemid=24532758809&shopid=1254311215","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/e4734dab67ee2f9ebd5a.png","-58%","Hadiah Gratis","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/b4d1b8a78b3621dbdf4a.svg"
"https://shopee.co.id/Octarine-Boujee-Fluff-Aroma-Marshmallow-Strawberry-Vanilla-Parfum-Perfume-Minyak-Wangi-Wanita-Pria-Tahan-Lama-i.854391331.44007600292?extraParams=%7B%22display_model_id%22%3A265645504436%2C%22model_selection_logic%22%3A3%7D&sp_atk=25e2c30c-e5e0-49cb-97d7-648e7c9e26c2&xptdk=25e2c30c-e5e0-49cb-97d7-648e7c9e26c2","https://down-id.img.susercontent.com/file/id-11134207-7ra0k-mciz3yan37zj47","https://down-id.img.susercontent.com/file/id-11134258-7ra0q-mbesqwmkb0gu9c","Octarine - Boujee Fluff Aroma Marshmallow Strawberry Vanilla | Parfum Perfume Minyak Wangi Wanita Pria Tahan Lama","75.500","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","Kab. Bogor","https://shopee.co.id/find_similar_products?catid=100630&itemid=44007600292&shopid=854391331","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/7c9110f78e069acbced7.png","-62%","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/b4d1b8a78b3621dbdf4a.svg"
